id,like_count,retweet_count,reply_count
1926282511170019830,0,0,0
1926282515506970952,0,0,0
1926290730407931999,0,0,0
1926290732752556537,0,0,0
1926290742550397031,0,0,0
1926290745171779651,0,0,0
1926290747306672334,0,0,3
1926290749634551836,0,0,0
1926304003417153900,0,0,1
1926304006072070333,0,0,0
1926304017107333529,0,0,1
1926304019816865795,0,0,1
1926304022316667212,0,0,0
1926304025001054386,0,0,0
1926304028205478174,0,0,0
1926304030793335275,0,0,0
1926304033515438212,0,0,0
1926242477037457665,0,0,0
1926242479302398004,0,0,2
1926242481538007118,0,0,0
1926242484088082882,0,0,0
1926242486114001177,0,0,0
1926242489511432381,0,0,0
1926242491797238155,0,0,1
1926269098821910919,0,0,0
1926269101040673235,0,0,0
1926269103037145203,0,0,01926282511170019830,0,0,0
1926282515506970952,0,0,0
1926290730407931999,0,0,0
1926290732752556537,0,0,0
1926290742550397031,0,0,0
1926290745171779651,0,0,0
1926290747306672334,0,0,3
1926290749634551836,0,0,0
1926304003417153900,0,0,1
1926304006072070333,0,0,0
1926304017107333529,0,0,1
1926304019816865795,0,0,1
1926304022316667212,0,0,0
1926304025001054386,0,0,0
1926304028205478174,0,0,0
1926304030793335275,0,0,0
1926304033515438212,0,0,0
1926242477037457665,0,0,0
1926242479302398004,0,0,2
1926242481538007118,0,0,0
1926242484088082882,0,0,0
1926242486114001177,0,0,0
1926242489511432381,0,0,0
1926242491797238155,0,0,1
1926269098821910919,0,0,0
1926269101040673235,0,0,0
1926269103037145203,0,0,0
